Airline ID,Operator,ICAO,Country,Active,Date,Location,Type,Aboard,Fatalities
1768,China Southwest Airlines,CXN,China,N,1999-02-24,"Rui'an, China",Tupolev TU-154,61.0,61.0
1828,Comair,COM,United States,Y,1979-10-08,"Covington, Kentucky",Piper PA-31,8.0,8.0
1828,Comair,COM,United States,Y,1997-01-09,"Near Monroe, Michigan",Embraer 120RT Brasilia,29.0,29.0
1828,Comair,COM,United States,Y,2006-08-27,"Lexington, Kentucky",Canadair CRJ-200ER,50.0,49.0
1829,Comair,CAW,South Africa,Y,1979-10-08,"Covington, Kentucky",Piper PA-31,8.0,8.0
1829,Comair,CAW,South Africa,Y,1997-01-09,"Near Monroe, Michigan",Embraer 120RT Brasilia,29.0,29.0
1829,Comair,CAW,South Africa,Y,2006-08-27,"Lexington, Kentucky",Canadair CRJ-200ER,50.0,49.0
1868,Condor Flugdienst,CFG,Germany,Y,1988-01-02,"Izmir, Turkey",Boeing B-737-230A,16.0,16.0
1881,Continental Airlines,COA,United States,Y,1975-08-07,"Denver, Colorado",Boeing B-727-224,131.0,0.0
1881,Continental Airlines,COA,United States,Y,1978-03-01,"LAX, Los Angeles, California",McDonnell Douglas DC-10-10,200.0,2.0
1881,Continental Airlines,COA,United States,Y,1987-11-15,"Denver, Colorado",McDonnell Douglas DC-9-14,82.0,28.0
1881,Continental Airlines,COA,United States,Y,1994-03-02,"New York, New York",McDonnell Douglas MD-82,116.0,0.0
1883,Continental Express,,United States,Y,1991-09-11,"Near Eagle Lake, Texas",Embraer 120RT Brasilia,14.0,14.0
1886,Conviasa,VCV,Venezuela,Y,2008-08-30,"Near Toacaso, Ecuador",Boeing B-737-291,3.0,3.0
1892,Copterline,AAQ,Finland,Y,2005-08-10,"Off Talinn, Estonia",Sikorsky S-76C,14.0,14.0
1900,Corporate Air,CPT,United States,N,1998-03-07,"Bismark, North Dakota",Cessna 208B Caravan I Super Cargomaster,1.0,1.0
1901,Corporate Air,CPR,United States,N,1998-03-07,"Bismark, North Dakota",Cessna 208B Caravan I Super Cargomaster,1.0,1.0
1911,Cougar Helicopters,CHI,Canada,N,2009-03-12,"Off St. Johns, Newfoundland",Sikorsky S-92A,18.0,17.0
1917,Coval Air,CVL,Canada,N,1984-07-01,"Port Hardy, British Columbia, Canada",Beechcraft 18,9.0,9.0
2009,Delta Air Lines,DAL,United States,Y,1972-05-30,"Dallas/Ft. Worth, Texas",McDonnell Douglas DC-9-14,4.0,4.0
2009,Delta Air Lines,DAL,United States,Y,1973-07-31,"Logan Airport, Boston, Massachusett",McDonnell Douglas DC-9-31,89.0,89.0
2009,Delta Air Lines,DAL,United States,Y,1974-02-22,"Baltimore, Maryland",MDonnell Dougals DC-9,15.0,1.0
